date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022/10/18,2023,0,,BOS,PHI,1657.639749,1582.247327,0.732949679,0.267050321,1662.198884,1577.688193,,,,,,,1693.243079,1641.876729,0.670612272,0.329387728,126,117,96,13,55
2022/10/18,2023,0,,GSW,LAL,1660.620307,1442.352444,0.862011361,0.137988639,1663.449489,1439.523261,,,,,,,1615.718147,1472.173711,0.776502203,0.223497797,123,109,67,20,44
2022/10/19,2023,0,,IND,WAS,1399.201934,1440.077372,0.584275136,0.415724864,1388.883119,1450.396186,,,,,,,1462.352663,1472.018225,0.599509667,0.400490333,107,114,37,28,33
2022/10/19,2023,0,,DET,ORL,1393.525172,1366.089249,0.675590418,0.324409582,1397.248913,1362.365508,,,,,,,1308.969909,1349.865183,0.563269619,0.436730381,113,109,3,1,2
2022/10/19,2023,0,,ATL,HOU,1535.408152,1351.164973,0.837022018,0.162977982,1538.164082,1348.409043,,,,,,,1618.256817,1283.328356,0.917650869,0.082349131,117,107,24,1,13
2022/10/19,2023,0,,MEM,NYK,1605.024654,1520.387218,0.743236434,0.256763566,1607.526099,1517.885772,,,,,,,1612.012431,1549.908529,0.69185078,0.30814922,115,112,80,25,53
2022/10/19,2023,0,,MIA,CHI,1617.953109,1447.489006,0.825910449,0.174089551,1598.814714,1466.627401,,,,,,,1649.036255,1494.446735,0.792030746,0.207969254,108,116,76,19,48
2022/10/19,2023,0,,BRK,NOP,1528.459783,1534.686244,0.631766794,0.368233206,1504.540694,1558.605334,,,,,,,1602.205215,1560.602073,0.665556035,0.334443965,108,130,80,44,62
2022/10/19,2023,0,,TOR,CLE,1553.500366,1488.39721,0.721197659,0.278802341,1556.254012,1485.643564,,,,,,,1626.38461,1581.813151,0.664147293,0.335852707,108,105,86,40,63
2022/10/19,2023,0,,SAS,CHO,1490.000063,1527.437795,0.589073686,0.410926314,1464.873416,1552.564441,,,,,,,1446.239753,1490.285279,0.555666719,0.444333281,102,129,37,34,36
