H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,eloh_pre,eloa_pre,eloh_post,eloa_post
109,1,0.518,0.52,0.8,47.5,24.2,13.1,9.1,5.1,20.2,118.2,98,0.624,114,0,0.44,0.531,0.565,43.1,18.6,12.7,2.9,8.8,-22.5,102,124.5,0.552,0,1623.868256,1595.60584,1613.255891,1606.218205
105,0,0.474,0.357,0.474,40.2,18.8,16.1,6.3,3.6,-6.3,101.8,107.1,0.551,115,0,0.414,0.378,0.706,44.6,22.8,17.8,8.9,3,-11.9,97,108.9,0.519,0,1536.851828,1630.513539,1526.231162,1641.134205
128,1,0.43,0.304,0.867,49,18.4,17.3,8.2,5.1,6.1,95.9,89.8,0.508,112,0,0.419,0.433,0.667,44.4,28.3,14.1,5.1,6.1,-20.2,98,118.2,0.5,1,1502.752909,1467.383214,1510.73122,1459.404903
83,0,0.41,0.368,0.739,45.2,27.4,14.5,10.5,7.3,-3.2,108.1,110.4,0.527,115,0,0.309,0.206,0.727,50.5,13.1,17.8,9.3,3.7,-14,77.6,92.5,0.389,0,1496.410086,1433.077337,1458.491478,1470.995945
96,0,0.407,0.31,0.783,46.3,17.9,16.8,6.3,6.3,-27.4,102.1,128.1,0.505,121,1,0.486,0.378,0.704,44,21.6,15.2,7.2,8,3.2,110.4,108.1,0.59,0,1324.072004,1551.135967,1312.764344,1562.443627
112,0,0.505,0.368,0.722,34.6,36.5,10.6,5.8,4.8,-10.6,116.3,125.7,0.599,123,1,0.43,0.419,0.667,43.4,27.4,7.5,8.5,4.7,0.9,116,114,0.517,0,1349.832991,1441.652424,1338.488159,1452.997256
101,1,0.457,0.415,0.793,40.6,22.6,9.4,5.7,3.8,2.8,117,114.2,0.592,110,1,0.44,0.298,0.867,55.2,18.8,10.4,6.3,5.2,21.9,111.5,90.5,0.548,0,1465.063173,1617.31816,1457.11467,1625.266663
124,0,0.455,0.333,0.682,38,19.4,22.2,12,2.8,-16.7,98.1,114.8,0.543,91,0,0.374,0.2,0.611,52.6,20,15.8,4.2,2.1,-22.1,90.5,111.5,0.435,1,1339.937729,1306.801231,1353.379924,1293.359036
102,1,0.53,0.436,0.556,45.5,24.8,18.8,8.9,1,11.9,108.9,97,0.632,96,1,0.5,0.433,0.667,44.8,33.3,8.3,8.3,3.1,27.1,128.1,102.1,0.581,1,1597.080552,1484.012535,1600.077194,1481.015893
135,1,0.444,0.185,0.808,48.1,18.9,20.8,13.2,7.5,14.2,92.5,77.6,0.53,134,0,0.467,0.362,0.875,47.7,27.1,15.9,1.9,9.3,-0.9,114,116,0.607,1,1511.056663,1484.1012,1513.441791,1481.716072
111,0.5,0.489,0.352,0.688,41.4,28.3,14.1,9.6,2.5,10.1,110.6,100.5,0.558,121,0.5,0.423,0.333,0.702,44.4,21.3,11.1,6.8,4.3,-9.2,107.2,115.3,0.529,0,1481.015893,1633.326537,1472.543687,1641.798743
97,1,0.48,0.412,0.825,46.8,24.9,15.4,8.5,6,10.9,110.4,99.5,0.576,82,0,0.4,0.214,0.769,48,17.3,17.3,7.1,5.1,-6.1,89.8,95.9,0.46,1,1510.73122,1373.503545,1515.333012,1368.901753
114,0,0.438,0.35,0.714,37.5,23.1,6.7,8.7,1.9,-1.9,108.7,112.7,0.537,120,1,0.53,0.424,1,50.5,26.7,11.4,7.6,7.6,10.5,125.7,116.3,0.627,0,1619.581964,1543.618172,1606.377858,1556.822278
101,0,0.508,0.333,0.789,34.3,30.5,14.3,7.1,3.8,-10.5,111,120.9,0.601,95,1,0.479,0.429,0.889,52.9,29.8,12.5,7.7,8.7,25,108.7,83.7,0.577,1,1338.488159,1581.656873,1350.628989,1569.516043
134,0,0.484,0.343,0.864,46.2,23.6,12.3,4.7,4.7,-2.8,114.2,117,0.589,105,0.5,0.451,0.348,0.733,45.3,26.6,14.8,8.4,2.5,-1,104.9,107,0.552,1,1570.271051,1641.134205,1589.374213,1622.031043
102,0,0.503,0.395,0.818,43.9,26.9,13.7,3.3,7.5,-0.9,120.8,122.3,0.62,91,1,0.531,0.429,0.645,54.2,26.2,10.3,7.5,1.9,39.3,128,90.5,0.625,1,1481.716072,1546.457382,1491.34227,1536.831185
96,1,0.483,0.421,0.774,42.6,24.1,16.7,16.7,11.1,16.7,114.8,98.1,0.616,89,0,0.45,0.475,0.76,42.6,26.7,15.3,5.9,5.4,-17.8,103.5,121.3,0.547,1,1445.98283,1459.404903,1451.929657,1453.458076
95,0.5,0.365,0.246,0.86,54.8,17.3,14.9,12.5,2.9,8.2,95.2,87.4,0.459,103,0,0.333,0.302,0.923,48.1,15.4,14.4,6.7,2.9,-25,83.7,108.7,0.441,0,1470.995945,1529.281384,1460.480836,1539.796493
121,0,0.436,0.395,0.646,42.9,21.7,16,6.6,3.3,-8,103.3,109.8,0.542,118,1,0.5,0.42,0.892,49.5,26.5,11.3,6.4,5.4,8.3,123.5,116.3,0.611,1,1526.231162,1556.822278,1530.483423,1552.570016
104,1,0.492,0.414,0.636,41.7,27.4,13.5,8.5,6.3,13,116.1,104.1,0.61,110,0,0.402,0.361,0.816,46.9,21.4,18.2,5.7,4.7,-26.6,100.5,125.8,0.52,0,1562.443627,1312.764344,1543.502046,1331.705925
