eloh_pre,eloa_pre,eloh_post,eloa_post,Result
1623.868256,1595.60584,1613.255891,1606.218205,0
1536.851828,1630.513539,1526.231162,1641.134205,0
1502.752909,1467.383214,1510.73122,1459.404903,1
1496.410086,1433.077337,1458.491478,1470.995945,0
1324.072004,1551.135967,1312.764344,1562.443627,0
1349.832991,1441.652424,1338.488159,1452.997256,0
1465.063173,1617.31816,1457.11467,1625.266663,0
1339.937729,1306.801231,1353.379924,1293.359036,1
1597.080552,1484.012535,1600.077194,1481.015893,1
1511.056663,1484.1012,1513.441791,1481.716072,1
1481.015893,1633.326537,1472.543687,1641.798743,0
1510.73122,1373.503545,1515.333012,1368.901753,1
1619.581964,1543.618172,1606.377858,1556.822278,0
1338.488159,1581.656873,1350.628989,1569.516043,1
1570.271051,1641.134205,1589.374213,1622.031043,1
1481.716072,1546.457382,1491.34227,1536.831185,1
1445.98283,1459.404903,1451.929657,1453.458076,1
1470.995945,1529.281384,1460.480836,1539.796493,0
1526.231162,1556.822278,1530.483423,1552.570016,1
1562.443627,1312.764344,1543.502046,1331.705925,0
1606.218205,1452.997256,1577.61618,1481.599281,0
1457.11467,1545.946595,1444.996274,1558.064991,0
1353.379924,1458.491478,1343.196715,1468.674687,0
1293.359036,1613.255891,1289.005593,1617.609333,0
1577.61618,1513.441791,1583.979806,1507.078165,1
1606.377858,1589.374213,1619.881812,1575.870259,1
1536.831185,1331.705925,1540.298177,1328.238933,1
1569.516043,1368.901753,1573.212319,1365.205478,1
1491.34227,1641.798743,1482.805898,1650.335114,0
1600.077194,1350.628989,1571.585672,1379.12051,0
1451.929657,1453.458076,1438.446426,1466.941307,0
1481.599281,1468.674687,1465.692911,1484.581057,0
1460.480836,1515.333012,1453.931243,1521.882604,0
1472.543687,1530.483423,1465.210671,1537.816439,0
1543.502046,1617.609333,1554.613215,1606.498164,1
1625.266663,1571.585672,1631.322627,1565.529708,1
1539.796493,1343.196715,1542.37151,1340.621698,1
1289.005593,1558.064991,1284.618942,1562.451642,0
1583.979806,1540.298177,1564.715997,1559.561986,0
1484.581057,1507.078165,1471.926598,1519.732625,0
1619.881812,1379.12051,1590.345946,1408.656377,0
1622.031043,1444.996274,1610.089765,1456.937552,0
1328.238933,1465.692911,1319.803139,1474.128704,0
1650.335114,1438.446426,1634.251873,1454.529667,0
1575.870259,1552.570016,1585.700117,1542.740159,1
1453.931243,1482.805898,1465.432255,1471.304886,1
1284.618942,1537.816439,1299.254636,1523.180745,1
1466.941307,1573.212319,1461.478989,1578.674636,0
1606.498164,1365.205478,1608.252156,1363.451486,1
1562.451642,1542.740159,1554.219087,1550.972714,0
1521.882604,1554.613215,1516.793895,1559.701925,0
1340.621698,1631.322627,1330.900837,1641.043488,0
1542.37151,1465.210671,1545.639089,1461.943092,1
1519.732625,1578.674636,1529.139762,1569.267499,1
1523.180745,1408.656377,1527.656476,1404.180646,1
1564.715997,1471.304886,1568.318588,1467.702295,1
1559.561986,1474.128704,1565.562211,1468.12848,1
1585.700117,1590.345946,1596.454922,1579.59114,1
1565.529708,1545.639089,1579.179413,1531.989384,1
1465.432255,1319.803139,1466.753844,1318.481551,1
1461.478989,1456.937552,1452.561259,1465.855282,0
1608.252156,1569.267499,1619.857289,1557.662366,1
1554.219087,1299.254636,1557.247732,1296.225991,1
1516.793895,1641.043488,1526.698014,1631.139368,1
1610.089765,1404.180646,1612.383712,1401.8867,1
1363.451486,1318.481551,1368.015154,1313.917883,1
1634.251873,1461.943092,1613.657227,1482.537738,0
1467.702295,1466.753844,1459.901546,1474.554592,0
1454.529667,1579.179413,1450.126861,1583.58222,0
1529.139762,1471.926598,1532.000455,1469.065905,1
1550.972714,1565.562211,1524.708486,1591.826439,0
1452.561259,1559.701925,1445.030456,1567.232729,0
1527.656476,1330.900837,1530.229278,1328.328035,1
1568.318588,1368.015154,1573.112107,1363.221635,1
1613.657227,1631.139368,1598.293972,1646.502624,0
1531.989384,1465.855282,1535.779081,1462.065585,1
1468.12848,1596.454922,1481.003052,1583.580349,1
1619.857289,1583.580349,1625.721672,1577.715967,1
1567.232729,1474.554592,1549.925928,1491.861393,0
1469.065905,1526.698014,1454.137549,1541.62637,0
1579.59114,1296.225991,1580.658996,1295.158136,1
1557.662366,1532.000455,1562.656406,1527.006415,1
